State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
KANO,KUNCHI,19260084,"KUNYAWA ISLAMIYYA PRIMARY SCHOOL, KUNYAWA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
KANO,KUNCHI,19260085,"KUNYAWA PRIMARY SCHOOL, KUNYAWA SHAMAKAWA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
GOMBE,YAMALTU-DEBA,15110348,"KWALI NURSERY SCHOOL",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
KANO,MADOBI,19280076,"KWANKWASO NURSARY SCHOOL, JAYAYYA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
KWARA,IREPODUN,23090151,"KWARA STATE COLLEGE OF EDUCATION EARLY CHILDHOOD DEVELOPMENT CENTRE",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ADAMAWA,HONG,2070249,"L.C.C.N ACADEMY NURSARY &amp; PRIMARY SCHOOL, MIJILI",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
BORNO,MAIDUGURI,8210579,"LAARI TSANGAYA ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
FCT,MUNICIPAL,37062516,"LAFINA MONTESSORI  ECCDE SCHOOL",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ADAMAWA,JADA,2080223,"LAKENOKOMIS LCCN NURSERY SCHOOL KUBI HAYATU",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
NIGER,GURARA,26090086,"LAWAL GWADABE INFANT GAWU PRIMARY SCHOOL, GAWU BABANGIDA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
TARABA,"KARIM LAMIDO",34080310,"LEARN AND PLAY NURSERY SCHOOL",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,OBI,25110032,"LGEA DEMONSTRATION NURSERY SCHOOL, DADDERE",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,OBI,25110180,"LGEA DEMONSTRATION NURSERY SCHOOL, TUDUN ADABU",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,KOKONA,25070239,"LGEA EARLY CHILD CARE CENTRE, AGWADA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,KOKONA,25070241,"LGEA EARLY CHILD CARE CENTRE, KANA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,OBI,25110031,"LGEA EARLY CHILD CARE DEVELOPMENT EDUCATION SCHOOL, AGEWU",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,TOTO,25120147,"LGEA EARLY CHILD EDUCATION NURSERY SCHOOL, TOTO",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080105,"LGEA EARLY CHILD EDUCATION SCHOOL, AGUDU",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080101,"LGEA EARLY CHILD EDUCATION SCHOOL, KAYARDA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080102,"LGEA EARLY CHILD EDUCATION SCHOOL, KOFAN ZANWA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080106,"LGEA EARLY CHILD EDUCATION SCHOOL, LAFIA EAST",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080103,"LGEA EARLY CHILD EDUCATION SCHOOL, MAIRAFI",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080104,"LGEA EARLY CHILD EDUCATION SCHOOL, MAKAMA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080107,"LGEA EARLY CHILD EDUCATION SCHOOL, RIMI-UKU",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080108,"LGEA EARLY CHILD EDUCATION SCHOOL, ST. JAMES",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080109,"LGEA EARLY CHILD EDUCATION SCHOOL, ST. WILLIAMS",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080381,"LGEA EARLY CHILD EDUCATION SCHOOL, UNGWAN GALADIMA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080233,"LGEA EARLY CHILD EDUCATION SCHOOL, UNGWAN LIMAN",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080099,"LGEA EARLY CHILD EDUCATION SCHOOL, UNGWAN WAJEN LALLE",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080100,"LGEA EARLY CHILD EDUCATION SCHOOL, UNGWAN YAKUBU AGYARAGU",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080110,"LGEA EARLY CHILD EDUCATION SCHOOL, WORKERS VILLAGE",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080749,"LGEA EARLY CHILD LAFIA SOUTH",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080737,"LGEA EARLY CHILD TUDUN KAURI, LAFIA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080727,"LGEA EARLY CHILDH EDUCATION SCHOOL PRACTICING ",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080700,"LGEA EARLY CHILDH EDUCATION, UNGWAN GAYAM",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NASARAWA,LAFIA,25080161,"LGEA GIRL CHILD EDUCATION PRIMARY SCHOOL, UNGWAN YAKUBU",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
KADUNA,IGABI,18040622,"LGEA MASHI GWARI",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
KOGI,AJAOKUTA,22020234,"LGEA MODEL NURSERY SCHOOL PYN AJAOKUTA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
