State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
"OYO                 ","IBADAN SOUTH EAST             ",1310930017,"METHODIST GRAMMAR SCHOOL, ELEKURO                                                                   ","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","IBARAPA CENTRAL               ",1311130003,"METHODIST GRAMMAR SCHOOL, IGBOORA                                                                   ","Senior Secondary",PUBLIC,"SSS ONLY"
EKITI,GBONYIN,EK13130120,"METHODIST HIGH SCHOOL EGBE EKITI","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,ILESHA-WEST,29190110S,"METHODIST HIGH SCHOOL I, ILESA","Senior Secondary",PUBLIC,"JSS AND SSS"
EKITI,EKITI-EAST,EK13130081,"METHODIST HIGH SCHOOL, ISINBODE","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"ABEOKUTA SOUTH",27020422,"METHODIST HIGH SCHOOL,METHODIST CHURCH CATHEDRAL, NTA ROAD, OGBE ABEOKUTA, OGUN STATE, NIGERIA  ","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","OGBOMOSO SOUTH                ",1312230008,"METHODIST SECONDARY GRAMMAR SCHOOL OFF AARA DAA ROAD                                                ","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","ONA-ARA                       ",1312630010,"METHODIST SECONDARY SCHOOL GANGANSI                                                                 ","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","AFIJIO                        ",1310130012,"METHODIST SECONDARY SCHOOL, IWARE                                                                   ","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","IBADAN NORTH                  ",1310630021,"METHODIST SECONDARY SCHOOL, NEW BODIJA.                                                             ","Senior Secondary",PUBLIC,"JSS AND SSS"
PLATEAU,JOS-NORTH,31051000,"Metropolitan College farin Gada","Senior Secondary",PRIVATE,PRIVATE
EBONYI,OHAOZARA,11110158,"MGBOM N'CHARA COMPREHENSIVE SECONDARY SCHOOL OKPOSI","Senior Secondary",PUBLIC,"SSS ONLY"
KOGI,LOKOJA,22120482,"MICHAEL OMONOGUN MEMORIAL SEC SCHL, LOKOJA","Senior Secondary",PRIVATE,PRIVATE
OGUN,ODEDA,27140010A,"MICHALICE NURSERY AND PRIMARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
KOGI,IJUMU,22090413,"MIDAG COLLEGE OF ARABIC AND ISLAMIC STUDIES","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,"OBAFEMI OWODE",27132645,"MIGHTY STARS COLEGE, IBAFO","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,KATAGUM,1051240015,"MIHIRABUL-QURAN AND SHEIATUL -HAMDI ISLAMIYYA SCHOOL","Senior Secondary",PRIVATE,PRIVATE
KOGI,ADAVI,22010150,"MIKAB MODEL COLLEGE NAGAZI-EBA","Senior Secondary",PRIVATE,PRIVATE
JIGAWA,HADEJIA,1813088221,"MILLENNIUM INTERNATIONAL SCHOOL","Senior Secondary",PRIVATE,PRIVATE
"OYO                 ","OGBOMOSO NORTH                ",1312130015,"MILLENNIUM MODEL SECONDARY SCHOOL, OGBOMOSO                                                         ","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,ADO-ODO/OTA,27031574,"MIMIEZER JUNIOR SECONDARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
BAYELSA,NEMBE,6040132,"MINI COMMUNITY SECONDARY SCHOOL AGRISABA .","Senior Secondary",PUBLIC,"SSS ONLY"
BAYELSA,YENAGOA,6080302,"MIRACLE AND MIRABEL GOD?SCARE ACADEMY","Senior Secondary",PRIVATE,PRIVATE
OGUN,"YEWA SOUTH",27200474,"MIRACLE MIND NURSERY AND PRIMARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
OGUN,ADO-ODO/OTA,27030501,"MIRACLE MODEL ACADEMY","Senior Secondary",PRIVATE,PRIVATE
OGUN,ADO-ODO/OTA,27031576,"MIRACLE MODEL SCHOOL","Senior Secondary",PRIVATE,PRIVATE
KOGI,ADAVI,22010152,"MIRROR SCIENCE & TECHINCAL ACADEMY,KUROKO","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OBAFEMI OWODE",27132646,"MISAM COLLEGE","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,MISAU,1051440009,"MISAU MODEL ACADEMY","Senior Secondary",PRIVATE,PRIVATE
KOGI,ADAVI,22010233,"MISBAHUN INTERNATIONAL COLLEGE","Senior Secondary",PRIVATE,PRIVATE
TARABA,GASSOL,34050510,"MISBAHUS SUNNAH ","Senior Secondary",PRIVATE,PRIVATE
TARABA,BALI,34020363,"MISBAHUS SUNNAH COLLAGE FOR ARABIC ","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,ALKALERI,1050140046,"MISBAHUSSUNNAH FUTUK","Senior Secondary",PRIVATE,PRIVATE
OSUN,IFE-EAST,29130135S,"MODAKEK MUSLIM HIGH SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,IFE-EAST,29130136S,"MODAKEKE HIGH SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
"ENUGU ",NKANU-EAST,14110174,"MODEL  SECONDARY  SWCHOOL  ISHIENU AMOFU  NKEREFI","Senior Secondary",PUBLIC,"JSS AND SSS"
"ENUGU ",OJI-RIVER,14140208,"MODEL COMMUNITY SECONDARY SCHOOL, ISIKWE ACHI","Senior Secondary",PUBLIC,"JSS AND SSS"
"ENUGU ",OJI-RIVER,14140209,"MODEL COMPREHENSIVE BOYS SEC. SCHOOL INYI","Senior Secondary",PUBLIC,"JSS AND SSS"
"ENUGU ",IGBO-EZE-NORTH,14080419,"MODEL COMPREHENSIVE COLLEGE IKPAMODO","Senior Secondary",PUBLIC,"JSS AND SSS"
EBONYI,EBONYI,11040095,"MODEL COMPREHENSIVE SECONDARY SCHOOL ONYIRIGBO","Senior Secondary",PUBLIC,"JSS AND SSS"
Ebonyi,Ikwo,11070249,"Model comprehensive secondary school, Agubia Ikwo. ","Senior Secondary",PUBLIC,"SSS ONLY"
"ENUGU ",IGBO-EZE-NORTH,14080417,"MODEL COMPREHENSIVE SECONDARY SCHOOL, EKPOSHI","Senior Secondary",PUBLIC,"JSS AND SSS"
Nasarawa,KARU,25040817,"MODEL INTERNATIONAL COLLEGE, KAWO","Senior Secondary",PRIVATE,PRIVATE
EBONYI,AFIKPO-NORTH,11020193,"MODEL JUNIOR SECONDARY SCHOOL AMAIZU/AMANGBALA","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,EDE-SOUTH,29080138S,"MODEL JUNIOR SECONDARY SCHOOL, AKODA, EDE","Senior Secondary",PUBLIC,"JSS AND SSS"
NIGER,"BOSSO                         ",2705318161,"MODEL SCIENCE COLLEGE TUDUN FULANI","Senior Secondary",PUBLIC,"JSS AND SSS"
FCT,AMAC,37064147,"MODEL SECONDARY SCHOOL MAITAMA","Senior Secondary",PUBLIC,"SSS ONLY"
"ENUGU ",NSUKKA,14130551,"MODEL SECONDARY SCHOOL, NSUKKA","Senior Secondary",PUBLIC,"JSS AND SSS"
Ebonyi,Ikwo,11070253,"Model Secondary School, Orona Amagu","Senior Secondary",PUBLIC,"JSS AND SSS"
BAYELSA,SAGBAMA,6060204,"MODEL SECONDARY SCHOOL, SAGBAMA .","Senior Secondary",PUBLIC,"SSS ONLY"
