State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
Ebonyi,Ivo,11090126," Akaeze Comprehensive Secondary school, Ugwuagba","Senior Secondary",PUBLIC,"SSS ONLY"
"ENUGU ",NSUKKA,14130553," COMMUNITY SECONDARY SCHOOL, OKUTU","Senior Secondary",PUBLIC,"JSS AND SSS"
EBONYI,EZZA-NORTH,11050228," Community Secondary?School,?Ekka","Senior Secondary",PUBLIC,"SSS ONLY"
Edo,Oredo,12120455," Phelim High School","Senior Secondary",PRIVATE,PRIVATE
EKITI,GBONYIN,EK13130124," UJILOGUN HIGH SCHOOL,ILUPEJU IJAN-","Senior Secondary",PUBLIC,"JSS AND SSS"
EBONYI,AFIKPO-NORTH,11020248," UNITY SECONDARY SCHOOL AMIKPO OZIZZA","Senior Secondary",PUBLIC,"SSS ONLY"
OSUN,IFE-EAST,29130001S,"1O MODAKEK MUSLIM COLLEGE","Senior Secondary",PUBLIC,"JSS AND SSS"
KOGI,"YAGBA EAST",22200001,"1ST ECWA NUR/PRY SCHOOL, PONYAN","Senior Secondary",PRIVATE,PRIVATE
PLATEAU,JOS-EAST,31040174,"A LL  SAINTS ANGLICAN  HIGH  SCHOOL NITSENG","Senior Secondary",PRIVATE,PRIVATE
NIGER,"LAVUN                         ",2713033162,"A.A.KURE COLLEGE OF ARTS & ISLAMIC STUDIES, NDALOKE","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,EJIGBO,29100003S,"A.D.S JUNIOR HIGH SCHOOL II, EJIGBO","Senior Secondary",PUBLIC,"JSS AND SSS"
JIGAWA,RINGIM,1823002141,"A.M. G.D.S.S. RINGIM","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,OLORUNDA,29270001S,"A.U. MIDDLE SCHOOL GBONMI OSOGBO OSUN STATE","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,ODO-OTIN,29250001S,"A.U.D COMPREHENSIVE SCHOOL, INISA","Senior Secondary",PUBLIC,"JSS AND SSS"
EKITI,"IKERE                         ",EK13130173,"A.U.D. COMP. HIGH SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,ADO-ODO/OTA,27030813,"A.U.F COLLEGE","Senior Secondary",PRIVATE,PRIVATE
KANO,RANO,20RANSS011,"AA RANO GGASS ","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","IBADAN NORTH                  ",1310630001,"ABADINA COLLEGE U.I IBADAN                                                                          ","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","IBADAN NORTH                  ",1310630002,"ABADINA GRAMMAR SCHOOL ABADINA                                                                      ","Senior Secondary",PUBLIC,"SSS ONLY"
EBONYI,EBONYI,11040271,"ABAKALIKI HIGH SCHOOL","Senior Secondary",PUBLIC,"SSS ONLY"
EBONYI,ONICHA,11130194,"ABAOMEGE COMM. SECONDARY SCHOOL","Senior Secondary",PUBLIC,"SSS ONLY"
EBONYI,OHAUKWU,11120493,"ABARIGWE COMM. SECONDARY SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,ADO-ODO/OTA,27030815,"ABBOT DAYSPRING CHILDREN SCHOOL","Senior Secondary",PRIVATE,PRIVATE
OGUN,ADO-ODO/OTA,27030816,"ABBOT DAYSPRING SCHOOL","Senior Secondary",PRIVATE,PRIVATE
KOGI,OKENE,22170461,"ABDUL AZIZ ATTA MEMORIAL COLLEGE, OKENE","Senior Secondary",PUBLIC,"JSS AND SSS"
BAUCHI,KATAGUM,1051240097,"ABDULKADIR NALIZAI SCHOOL FOR SCIENCE AZARE","Senior Secondary",PRIVATE,PRIVATE
KANO,"KANO MUNICIPAL",20KMCPV006,"ABDULLAHI MAI MASALLACHI INSTITUTE FOR QUR'ANIC STUDIES ","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,TORO,1051840001,"ABDULLAHI MEMORIAL ACADEMY GUMAU","Senior Secondary",PRIVATE,PRIVATE
KANO,KARAYE,20KRYPV002,"ABDULWAHAB INT. SCH.","Senior Secondary",PRIVATE,PRIVATE
OGUN,"ABEOKUTA SOUTH",27020584,"ABEOKUTA GIRLS' GRAMMAR SCHOOL (PRIVATE), ONIKOLOBO, ABEOKUTA. OGUN STATE","Senior Secondary",PRIVATE,PRIVATE
OGUN,"ABEOKUTA SOUTH",27020404,"ABEOKUTA GRAMMAR SCHOOL,IDI-ABA, ABEOKUTA, OGUN STATE, NIGERIA ","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,"OBAFEMI OWODE",271302777,"ABIFLORENCE MEMORIAL COLLEGE","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OGUN WATERSIDE",27160063s,"ABIGI  COMMUNITY  GRAMMAR  SCHOOL, WATERSIDE OGUN STATE, NIGERIA(COMBINED)","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"IJEBU NORTH",27080400,"ABOBI COMPREHENSIVE HIGH SCHOOL SENIOR, AGO IWOYE","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","ONA-ARA                       ",1312630008,"ABONDE COMM. GRAMMAR SCHOOL IBADAN                                                                  ","Senior Secondary",PUBLIC,"JSS AND SSS"
BAUCHI,TORO,1051840002,"ABU NUSEB SPECIAL SCHOOL GUMAU","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,KATAGUM,1051240047,"ABU-KILISHI AL-KUSURI COLLEGE OF ARABIC","Senior Secondary",PRIVATE,PRIVATE
EDO,ETSAKO-WEST,12090006,"ABUBAKAR ISLAMIC AND ARABIC SCHOOL","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,BAUCHI,1050240223,"ABUHURAIRA COLLEGE","Senior Secondary",PRIVATE,PRIVATE
Nasarawa,KARU,25040005,"ABUJA INTERNATIONAL ACADEMY, MARARABA GURKU","Senior Secondary",PRIVATE,PRIVATE
OGUN,IFO,27050452,"ABUNDANT GRACE PRIVATE SCHOOL, AKUTE","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OBAFEMI OWODE",271302783,"ABUNDANT RAIN ACADEMY ","Senior Secondary",PRIVATE,PRIVATE
OGUN,ADO-ODO/OTA,27030826,"ABUNDANT WISDOM COLLEGE","Senior Secondary",PRIVATE,PRIVATE
OGUN,"IJEBU NORTH",27080401,"ABUSI ODUMARE ACADEMY SENIOR, IJEBU IGBO","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,SAGAMU,27181006,"ACAD EPIPHANY ACADEMY, OGIJO","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OBAFEMI OWODE",27132034,"ACE KIDDIES (TOP GRADE) N & P SCHOOL","Senior Secondary",PRIVATE,PRIVATE
KOGI,ADAVI,22011988,"ACHIEVERS INTERNATIONAL COLLEGE, NAGAZI - UVETE","Senior Secondary",PRIVATE,PRIVATE
EDO,OREDO,12120006,"ACTIVE BRAINS UNIQUE TOUCH ACADEMY","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OBAFEMI OWODE",27132537,"ACUMEN COLLEGE","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OBAFEMI OWODE",27132036,"ACUMEN NURSERY & PRIMARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,MISAU,1051430012,"AD RUFAI COLLEGE FOR LEGAL AND ISLAMIC STUDIES MISAU","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,"IJEBU ODE",27090483,"AD-DAWAH COMPREHENSIVE COLLEGE","Senior Secondary",PRIVATE,PRIVATE
OSUN,BORIPE,29060159S,"ADA SECONDARY COMMERCIAL GRAMMAR SCHOOL, ADA.","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,OBOKUN,29240001s,"ADA-OWODE COMMUNITY BAPTIST, ADA-OWODE","Senior Secondary",PUBLIC,"JSS AND SSS"
"ENUGU ",UZO-UWANI,14170161,"ADADA SECONDARY SCHOOL, NKPOLOGU","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","ORIIRE                        ",1312830012,"ADAFILA CIOMMUNITY GREAMMAR SCHOOL                                                                  ","Senior Secondary",PUBLIC,"JSS AND SSS"
PLATEAU,JOS-EAST,31040175,"ADAKUNUM  ACADEMY  NURSERY AND PRIMARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
JIGAWA,TAURA,1826074251,"ADAMS SCIENCE ANDTAHFIZUL QUR'AN ACADEMY","Senior Secondary",PRIVATE,PRIVATE
"OYO                 ","IREPO                         ",1311530003,"ADASOBO GRAMMAR SCHOOL                                                                              ","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,OLA-OLUWA,29260077S,"ADATAN HIGH SCHOOL, ASA","Senior Secondary",PUBLIC,"JSS AND SSS"
KOGI,ADAVI,22011989,"ADAVI LOCAL GOVERNMENT  SCIENCE SECONDARY SCHOOL, NAGAZI - EBA","Senior Secondary",PRIVATE,PRIVATE
OSUN,ISOKAN,29220158s,"ADC GRAMMAR SCHOOL, APOMU","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,IFO,27051263,"ADE-BENSON COMPREHENSIVE COLLEGE, IFO","Senior Secondary",PRIVATE,PRIVATE
OGUN,ADO-ODO/OTA,27030516,"ADE-GALAXY ACADEMY","Senior Secondary",PRIVATE,PRIVATE
FCT,BWARI,37020855,"ADE-OLA INTERNATIONAL COLLEGE KUBWA","Senior Secondary",PRIVATE,PRIVATE
OGUN,ADO-ODO/OTA,27030835,"ADEDOKUN INTERNATIONAL SECONDARY SCHOOL, OTA","Senior Secondary",PRIVATE,PRIVATE
OGUN,IFO,27050456,"ADEDOKUN NURSERY AND PRIMARY SCHOOL, IFO","Senior Secondary",PRIVATE,PRIVATE
"OYO                 ","IBARAPA NORTH                 ",1311330006,"ADEGUN ASAKE GRAMMAR SCHOOL, IGANGAN                                                                ","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","IBADAN SOUTH EAST             ",1310930001,"ADEKILE GOODWILL GRAMMAR SCHOOL, APERIN                                                             ","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,ADO-ODO/OTA,27030838,"ADELANS SECONDARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
OGUN,"ABEOKUTA SOUTH",27020585,"ADELINE OGUNLADE MEMORIAL HOME SECONDARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
"OYO                 ","OGBOMOSO NORTH                ",1312130013,"ADENIRAN MEMORIAL GRAMMAR SCHOOL                                                                    ","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,"IJEBU ODE",27090484,"ADEOLA ODUTOLA COLLEGE PRIVATE","Senior Secondary",PRIVATE,PRIVATE
"OYO                 ","ORIIRE                        ",1312830016,"ADEOSUN - ELEFUN COMMUNITY GRAMMAR SCHOOL                                                           ","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,ADO-ODO/OTA,27030844,"ADEOYE INTERNATIONAL COLLEGE ","Senior Secondary",PRIVATE,PRIVATE
OSUN,IFE-SOUTH,29160014S,"ADEREMI MEMORIAL COLLAGE","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,OLORUNDA,29270005S,"ADEROUNMU GRAMMER SCHOOL, OBA-ILE","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"OBAFEMI OWODE",27130164s,"ADESANOLU COMMUNITY HIGH SCHOOL (COMBINED), MOWE","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,ADO-ODO/OTA,27030847,"ADESEYE ROYAL COLLEGE","Senior Secondary",PRIVATE,PRIVATE
EKITI,ISE-ORUN,Ek13130216,"ADETUNJI AJAYI HIGH SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,ADO-ODO/OTA,27030119S,"ADIE-OWE COMMUNITY HIGH SCHOOL, KETU (COMBINED)","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","IBADAN SOUTH WEST             ",1311030001,"ADIFASE HIGH SCHOOL, APATA                                                                          ","Senior Secondary",PUBLIC,"JSS AND SSS"
EKITI,ADO-EKITI,EK13130048,"ADO COMMUNITY HIGH SCHOOL ADO EKITI ","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,ADO-ODO/OTA,27030765,"ADO-ODO HIGH SCHOOL (SENIOR), ADO-ODO","Senior Secondary",PUBLIC,"SSS ONLY"
KOGI,OLAMABORO,22180966,"ADOKPE COMMUNITY MODEL SECONDARY SCHOOL, ADOKPE","Senior Secondary",PRIVATE,PRIVATE
OGUN,"YEWA NORTH",27190304s,"ADOKUN HIGH SCHOOL, IGAN OKOTO (COMBINED)","Senior Secondary",PUBLIC,"JSS AND SSS"
BAYELSA,YENAGOA,6080802,"ADONAI FOUNDATION NTERNATIONAL ACADEMY","Senior Secondary",PRIVATE,PRIVATE
EBONYI,Izzi,11100439,"Adonai sec, school ikelegu,  ","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OBAFEMI OWODE",27132538,"ADONAI SECONDARY SCHOOL","Senior Secondary",PRIVATE,PRIVATE
OSUN,OLORUNDA,29270205S,"ADS  GRAMMAR SCHOOL, ILUDUN, OSOGBO","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","ATISBO                        ",1310430001,"ADS COMPREHENSIVE SECONDARY SCHOOL TEDE                                                             ","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,IFE-EAST,29130232S,"ADS GRAMMAR SCHOOL,ILORO, ILE-IFE","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","OGBOMOSO NORTH                ",1312130008,"ADS HIGH SCHOOL                                                                                     ","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","ATISBO                        ",1310430002,"ADS HIGH SCHOOL AGO ARE                                                                             ","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,EJIGBO,29100174S,"ADS HIGH SCHOOL, EJIGBO ","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","IWAJOWA                       ",1311830001,"ADS HIGH SCHOOL, IWERE-ILE                                                                          ","Senior Secondary",PUBLIC,"JSS AND SSS"
KANO,FAGGE,20FGESS003,"ADSS BUKAVU BOYS","Senior Secondary",PUBLIC,"SSS ONLY"
BAYELSA,YENAGOA,6082169,"ADTRE ACADEMY","Senior Secondary",PRIVATE,PRIVATE
EBONYI,OHAOZARA,11110123,"ADU COMPR. SS UBURU","Senior Secondary",PUBLIC,"JSS AND SSS"
BAYELSA,SAGBAMA,6060166,"ADUKU COMMUNITY SECONDARY SCHOOL","Senior Secondary",PUBLIC,"SSS ONLY"
Edo,Ikpoba-Okha,12110475,"Aduwawa secondary school Aduwawa ","Senior Secondary",PUBLIC,"SSS ONLY"
OSUN,EDE-SOUTH,29080009S,"ADVENTIST JUNIOR SECONDARY SCHOOL II, EDE","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"OBAFEMI OWODE",271302762,"ADVOCATE SCHOOLS, PAKURO","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OBAFEMI OWODE",27130020A,"ADVOCATE SCHOOLS,PAKURO","Senior Secondary",PRIVATE,PRIVATE
Edo,"Etsako West",12090229,"Afashio mixed sec school Afashio","Senior Secondary",PUBLIC,"SSS ONLY"
EDO,AKOKO-EDO,12010199,"AFE COMPREHENSIVE  COLLEGE OJIRAMI-AFE","Senior Secondary",PUBLIC,"SSS ONLY"
EDO,AKOKO-EDO,12010191,"AFEYE SECONDARY SCHOOL, IKIRAN ILE.","Senior Secondary",PUBLIC,"SSS ONLY"
EDO,"ETSAKO WEST",12090211,"AFOWA MIXED SECONDARY SCHOOL","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,ADO-ODO/OTA,27030121S,"AFRICAN CHURCH COMMUNITY HIGH SCHOOL, EWUPE (COMBINED)","Senior Secondary",PUBLIC,"JSS AND SSS"
EKITI,"IKERE                         ",EK13130166,"AFRICAN CHURCH COMPREHENSIVE HIGH SCH, IKERE-EKITI","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,IFELODUN,29140006S,"AFRICAN CHURCH G/S,  IKIRUN","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"ABEOKUTA NORTH",27010401,"AFRICAN CHURCH GRAMMAR SCHOOL (SENIOR),OBASANJO WAY, ITA-IYALODE, ABEOKUTA ","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","IBADAN SOUTH WEST             ",1311030003,"AFRICAN CHURCH GRAMMAR SCHOOL, APATA                                                                ","Senior Secondary",PUBLIC,"SSS ONLY"
KOGI,"YAGBA EAST",22200340,"AFRICAN CHURCH SECONDARY SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
FCT,AMAC,37062241,"AFRIEUROPEAN PRIMARY AND SECONDARY SCHOOL SABON LUGBE","Senior Secondary",PRIVATE,PRIVATE
BAYELSA,BRASS,6010137,"AG REALITY INTERNATIONAL SCHOOL","Senior Secondary",PRIVATE,PRIVATE
KOGI,OLAMABORO,22180001,"AGALIGA COMMUNITY COMPREHENSIVE COLLEGE ETUKWO","Senior Secondary",PUBLIC,"JSS AND SSS"
KOGI,OLAMABORO,22180401,"AGALIGA COMMUNITY SECONDARY SCHOOL, EFABO","Senior Secondary",PUBLIC,"JSS AND SSS"
EDO,OREDO,12120402,"Agape Academy","Senior Secondary",PRIVATE,PRIVATE
OGUN,IFO,27050439,"AGBADO DISTRICT COMPREHENSIVE HIGH SCHOOL(SNR) OKE-ARO","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,ADO-ODO/OTA,27030766,"AGBARA COMMUNITY SENIOR HIGH SCHOOL,EEDU AGBARA.","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,ADO-ODO/OTA,27030761S,"AGBARA GRAMMAR SCHOOL, AGBARA (COMBINED)","Senior Secondary",PUBLIC,"JSS AND SSS"
EKITI,ISE-ORUN,Ek13130342,"Agbede Comprehensive College Ise","Senior Secondary",PRIVATE,PRIVATE
KOGI,DEKINA,22050482,"AGBEJI GRAMMAR SCHOOL, AGBEJI","Senior Secondary",PUBLIC,"JSS AND SSS"
BAYELSA,EKEREMOR,6020187,"AGBIDIAMA GRAMMER SCHOOL, AGBIDIAMA .","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,ILA,29170017S,"AGBOLUAJE HIGH SCHOOL ILA","Senior Secondary",PUBLIC,"JSS AND SSS"
EDO,IKPOBA-OKHA,12110410,"AGBONMOBA SECONDARY SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,EDE-SOUTH,29080204s,"AGBONRAN SCHOOL OF SCIENCE, EDE","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","OGBOMOSO SOUTH                ",1312230013,"AGBOOLA ADIBI HIGH SCHOOL, OGBOMOSO                                                                 ","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","IDO                           ",1311430021,"AGELU COMMUNITY HIGH SCHOOL, ABA IGBAGBO                                                            ","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,"ABEOKUTA NORTH",27010330,"AGGREY MEMORIAL SECONDARY SCHOOL ","Senior Secondary",PRIVATE,PRIVATE
Delta,OKPE,10130007S,"AGHALOKPE MIXED SECONDARY SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"IJEBU NORTH",27080402,"AGO IWOYE SECONDARY SCHOOL SENIOR, AGO IWOYE","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,IPOKIA,27120311,"AGOSASA COMMUNITY HIGH SCHOOL (SNR), AGOSASA","Senior Secondary",PUBLIC,"SSS ONLY"
BAYELSA,YENAGOA,6081256,"AGUDAMA COMPREHENSIVE HIGH SCHOOL, AGUDAMA-EKPETIAMA .","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","IBADAN NORTH EAST             ",1310730011,"AGUGU HIGH SCHOOL, AGUGU                                                                            ","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"ABEOKUTA SOUTH",27020401S,"AGUNBIADE VICTORY HIGH SCHOOL,BEHIND SARS OFFICE, MAGBON, ABEOKUTA, OGUN STATE","Senior Secondary",PUBLIC,"SSS ONLY"
OSUN,ILESHA-WEST,29190005S,"AGUNLETIKA GRAMMERM SCHOOL, ILESA","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,EJIGBO,29100010s,"AGURODO HIGH SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
Delta,IKA-SOUTH,10080006S,"AGWAEWURU SEC SCH, EWURU","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"OGUN WATERSIDE",27160158,"AHAMADIYA COMPREHENSIVE HIGH SCHOOL ONI (SENIOR)","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,"IJEBU NORTH",27080403,"AHMADIYYA HIGH SCHOOL SENIOR, AGO IWOYE","Senior Secondary",PUBLIC,"SSS ONLY"
KOGI,IJUMU,22090395,"AHMADIYYA SECONDARY SCHOOL","Senior Secondary",PUBLIC,"SSS ONLY"
KOGI,ADAVI,22010946,"Aims technical college basic, Zariaji kabba junction","Senior Secondary",PRIVATE,PRIVATE
FCT,AMAC,37064140,"AIR FORCE GIRLS COMPREHENSIVE SCHOOL (SENIOR)","Senior Secondary",PUBLIC,"JSS AND SSS"
EKITI,GBONYIN,EK13130125,"AISEGBA COMMUNITY GRAMMAR SCHOOL,AISEGBA - EKITI ","Senior Secondary",PUBLIC,"JSS AND SSS"
EKITI,GBONYIN,EK13130117,"AISEGBA COMPREHENSIVE HIGH SCHOOL, AISEGBA EKITI","Senior Secondary",PUBLIC,"SSS ONLY"
TARABA,TAKUM,34120498,"AISHA MEMORIAL ACADEMY ","Senior Secondary",PRIVATE,PRIVATE
TARABA,TAKUM,34120497,"AISHAT MEMORIAL ACADEMY ","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,KATAGUM,1051240100,"AISHATU BINT ABIBAKAR QURANIC AND SCIENCE ACADEMY AZARE","Senior Secondary",PRIVATE,PRIVATE
OGUN,ODOGBOLU,27150258s,"AIYEPE COMPREHENSIVE HIGH SCH, AYEPE (COMBINED)","Senior Secondary",PUBLIC,"JSS AND SSS"
EKITI,EMURE,Ek13130114,"AJEBAMIDELE COMMUNITY HIGH SCHOOL ANAYE EMURE EKITI","Senior Secondary",PUBLIC,"JSS AND SSS"
"ENUGU ",IGBO-EZE-NORTH,14080399,"AJI HIGH SCHOOL, AJI","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","ONA-ARA                       ",1312630001,"AJIA SECONDARY GRAMMAR SCHOOL                                                                       ","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","AKINYELE                      ",1310230001,"AJIBODE GRAMMAR SCHOOL, AJIBODE                                                                     ","Senior Secondary",PUBLIC,"SSS ONLY"
KOGI,KABBA/BUNU,22100432,"AJIGBA GRAMMAR SCHOOL OLLE BUNU","Senior Secondary",PUBLIC,"SSS ONLY"
OSUN,ILESHA-WEST,29190006s,"AJIMOKO JUNIOR SCHOOL, ILESA","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","ORIIRE                        ",1312830010,"AJINAPA COMMUNITY GRAMMAR SCHOOL                                                                    ","Senior Secondary",PUBLIC,"JSS AND SSS"
EKITI,EKITI-WEST,EK13130105,"AJINARE GRMMAR SCHOOL,IDO-ILE EKITI","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,EJIGBO,29100011S,"AJODA COMPREHENSIVE MIDDLE HIGH SCHOOL","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,ADO-ODO/OTA,27030767,"AJOGBO GRAMMAR SCHOOL (SNR),AJIBODE","Senior Secondary",PUBLIC,"SSS ONLY"
EKITI,"IKERE                         ",EK13130171,"AJOLAGUN HIGH SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,IFO,27050440,"AJUWON HIGH SCHOOL (SENIOR),AJUWON","Senior Secondary",PUBLIC,"SSS ONLY"
EBONYI,IVO,11090110,"AKAEZE COMM. IYIOJI SS AKAEZE","Senior Secondary",PUBLIC,"JSS AND SSS"
EBONYI,Ivo,11090141,"Akaeze Comprehensive  Secondary  School","Senior Secondary",PUBLIC,"SSS ONLY"
OGUN,IKENNE,27100024S,"AKESAN COMMUNITY GRAMMAR SCHOOL, IPERU (COMBINED)","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,EWEKORO,27040070S,"AKIN OGUNPOLA MODEL COLLEGE (COMBINED),ALONG LAGOS ABEOKUTA EXPRESS WAY,WASIMI","Senior Secondary",PUBLIC,"JSS AND SSS"
EKITI,ISE-ORUN,EK13130221,"AKINLUSE COMP. HIGH SCHOOL, ISE ","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","AFIJIO                        ",1310130001,"AKINMORIN GRAMMAR SCHOOL AKINMORIN                                                                  ","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,IFELODUN,29140214S,"AKINORUN GRAMMAR SCHOOL, IKIRUN","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","ISEYIN                        ",1311630001,"AKINWUMI METH. HIGH SCHOOL                                                                          ","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,ATAKUMOSA-WEST,29020120S,"AKINYEMI MEMORIAL GRAMMAR SCHOOL IFEWARA","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","IBARAPA EAST                  ",1311230001,"AKOLU GRAMMAR SCHOOL, ERUWA                                                                         ","Senior Secondary",PUBLIC,"JSS AND SSS"
BAYELSA,SOUTHERN-IJAW,6070341,"AKPALAKPA GRAMMAR SCHOOL, UKUBIE .","Senior Secondary",PUBLIC,"JSS AND SSS"
KOGI,IGALAMELA/ODOLU,22080343,"AKPANYA COMMUNITY SECONDARY SCHOOL AKPANYA","Senior Secondary",PUBLIC,"SSS ONLY"
EBONYI,AFIKPO-NORTH,11020255,"Akpoha Comprehensive Secondary School","Senior Secondary",PUBLIC,"JSS AND SSS"
"ENUGU ",NKANU-WEST,14120226,"AKPUGO HIGH SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
"ENUGU ",OJI-RIVER,14140201,"AKPUGOEZE HIGH SCHOOL","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","IDO                           ",1311430001,"AKUFO HIGH SCHOOL, AKUFO                                                                            ","Senior Secondary",PUBLIC,"SSS ONLY"
"ENUGU ",IGBO-ETITI,14070191,"AKUTARA COMMUNITY SECONDARY SCHOOL, OHODO","Senior Secondary",PUBLIC,"JSS AND SSS"
KOGI,IBAJI,22060933,"AKWURO GRAMMER SCHOOL AKWURO","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,BAUCHI,1050240245,"AL HAQ PRIVATE SCHOOL KANDAHAR","Senior Secondary",PRIVATE,PRIVATE
JIGAWA,"BIRNIN KUDU",1804173227,"AL HIJIRA INTERNATIONAL SCHOOL","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,TORO,1051840124,"AL IHSAN MALLAWA ACADEMY","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,BAUCHI,1050240269,"AL MADEENAH INTERNATIONAL ACADEMY","Senior Secondary",PRIVATE,PRIVATE
OGUN,EWEKORO,27040285,"AL MEDINA COLLEGE","Senior Secondary",PRIVATE,PRIVATE
NIGER,BORGU,26040243,"AL'BARKA SECONDARY SCHOOL, WAWA","Senior Secondary",PRIVATE,PRIVATE
BAUCHI,KATAGUM,1051240096,"AL- AMIN ACADEMY AZARE","Senior Secondary",PRIVATE,PRIVATE
OGUN,ODOGBOLU,27150252,"AL- AZEEM MODEL COLLEGE","Senior Secondary",PRIVATE,PRIVATE
OGUN,"OBAFEMI OWODE",27130312,"AL- FAAHIZUUN COLLEGE","Senior Secondary",PRIVATE,PRIVATE
