State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
AKWA-IBOM,EKET,3030283,"  ABRAHAM MEMORIAL INTERNATIONAL SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,SURULERE,30330113," AJASE/JABATA COMMUNITY HIGH SCHOOL                                                                 ","Junior Secondary",PUBLIC,"JSS AND SSS"
OYO,SURULERE,30330114," AJIBARE COMMUNITY SECONDARY SCHOOL                                                                 ","Junior Secondary",PUBLIC,"JSS AND SSS"
ABIA,OBIOMA-NGWA,1090057," ALL SAINTS JUNIOR SECONDARY SCHOOL, EHERE","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,SURULERE,30330115," AROJE ABBA COMMUNITY HIGH SCHOOL                                                                   ","Junior Secondary",PUBLIC,"JSS AND SSS"
FCT,MUNICIPAL,37063168," BANKYS SECONDARY  SCHOOL ","Junior Secondary",PRIVATE,"JSS AND SSS"
CROSS-RIVER,BOKI,9070154," COMMERICIAL SECONDARY SCHOOL, KAKWAGOM","Junior Secondary",PUBLIC,"JSS AND SSS"
ABIA,UKWA-WEST,1140092," COMMUNITY  JUNIOR SECONDARY SCHOOL, OBEHIE ASA","Junior Secondary",PUBLIC,"JSS ONLY"
OYO,ORI-IRE,30280137," COMMUNITY GRAMMAR SCHOOL  ELEESUN-ADEOSUN                                                      ","Junior Secondary",PUBLIC,"JSS AND SSS"
EBONYI,EZZA-SOUTH,11060169," COMMUNITY SECONDARY SCHOOL, OHOFFIA NDIAGU IKWUATO IDEMBIA","Junior Secondary",PUBLIC,"JSS AND SSS"
KATSINA,MUSAWA,20290133," COMMUNITY STAFF SECONDARY SCHOOL","Junior Secondary",PUBLIC,"JSS AND SSS"
ENUGU,EZEAGU,14060199," ENUGU  STATE POLYTECHNIC SECONDARY SCHOOL IWOLLO","Junior Secondary",PUBLIC,"JSS AND SSS"
OYO,SURULERE,30330150," GLORIOUS COMMAND ACADEMY                                                         ","Junior Secondary",PRIVATE,"JSS AND SSS"
KANO,NASARAWA,19310693," GOVERNMENT JUNIOR SECONDARY SCHOOL IBRAHIM ZUBAIRU","Junior Secondary",PUBLIC,"JSS ONLY"
ADAMAWA,MICHIKA,2130135," GOVERNMENT JUNIOR SECONDARY SCHOOL, LDABA BAZZA, MICHIKA","Junior Secondary",PUBLIC,"JSS ONLY"
KATSINA,KATSINA,20210119," GOVERNMENT SCHOOL ( KATSINACOLLEGE )KATSINA ","Junior Secondary",PUBLIC,"JSS ONLY"
PLATEAU,JOS-SOUTH,31060563," JNL-SHILOH HIGH SCHOOL ","Junior Secondary",PRIVATE,"JSS AND SSS"
KWARA,ASA,23010255," JUNIOR SECONDARY SCHOOL, OWODEKEKE","Junior Secondary",PUBLIC,"JSS ONLY"
PLATEAU,BASSA,31020193," KYENJI ACADEMY  SECONDARY  SCHOOL ZALLAKI","Junior Secondary",PRIVATE,"JSS AND SSS"
OSUN,OSOGBO,29301267," LIFE FOUNDATION COMPREHENSIVE COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
ABIA,ISIKWUATO,1080210," LIGHT OF AFRICA","Junior Secondary",PRIVATE,"JSS ONLY"
BENUE,KWANDE,7110362," MANDATE SECONDARY SCHOOL, JATO-AKA ","Junior Secondary",PRIVATE,"JSS ONLY"
CROSS-RIVER,ODUKPANI,9150002," MIGRANT SCIENCE AND TECHNICAL COLLEGE,  AKIM AKIM","Junior Secondary",PUBLIC,"JSS ONLY"
NIGER,BORGU,26040049," NEPA STAFF SECONDARY SCHOOL, KAINJI","Junior Secondary",PRIVATE,"JSS AND SSS"
KATSINA,KATSINA,20210393," PEAK COMPREHENSIVE SCHOOLS","Junior Secondary",PRIVATE,"JSS ONLY"
KATSINA,KUSADA,20230042," PILOT JUNIOR SECONDARY SCHOOL JOFALAWA  SCHOOL  , JOFALAWA","Junior Secondary",PUBLIC,"JSS ONLY"
LAGOS,OJO,24172620," ROSE BETHEL COMPREHENSIVE HIGH SCHOOL ","Junior Secondary",PRIVATE,"JSS ONLY"
EKITI,ADO-EKITI,13010663," TIMADE DISCIPLES GROUP OF SCHOOL, ADO-EKITI","Junior Secondary",PRIVATE,"JSS AND SSS"
RIVERS,OBIO-AKPOR,32150913," ULOC INTERNATIONAL SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
EBONYI,IZZI,11100419," URBAN COMMUNITY SECONDARY SCHOOL IBOKO","Junior Secondary",PRIVATE,"JSS ONLY"
KOGI,IGALAMELA-ODOLU,22080001,"(NA) UBE JUNIOR SECONDARY SCHOOL, AJAKA","Junior Secondary",PUBLIC,"JSS ONLY"
ONDO,ILE-OLUJI-OKEIGBO,28110086,"..EMMANUEL GRAMMAR SCHOOL OLORUNSOGO","Junior Secondary",PRIVATE,"JSS AND SSS"
OGUN,REMO-NORTH,27170027,"..IPARA COMMUNITY HIGH SCHOOL (JUNIOR), IPARA","Junior Secondary",PUBLIC,"JSS AND SSS"
LAGOS,IKORODU,24122665,".LASPOTECH INTERNATIONAL SECONDARY SCHOOL, SAGAMU ROAD","Junior Secondary",PRIVATE,"JSS ONLY"
OSUN,IREWOLE,29210165,"0LADOYIN MODEL SECONDARY SCHOOL, YIDI AREA ","Junior Secondary",PRIVATE,"JSS AND SSS"
DELTA,PATANI,10160037,"0PROZA GRAMMAR SCH, PATANI","Junior Secondary",PUBLIC,"JSS AND SSS"
OSUN,IFE-EAST,29130001,"1O MODAKEK MUSLIM COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
BORNO,KONDUGA,8160087,"1OOO HOUSING ESTATE JUNIOR SECONDARY SCHOOL","Junior Secondary",PUBLIC,"JSS ONLY"
LAGOS,AJEROMI-IFELODUN,24020587,"1ST D EKO COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,IKORODU,24123339,"1ST EXCEL TUTORIAL COLLEGE OGOLONTO. MAJIDUN","Junior Secondary",PRIVATE,"JSS AND SSS"
BENUE,OTUKPO,7190001,"21ST CENTURY COLLEGE, OJAKPAMA","Junior Secondary",PRIVATE,"JSS AND SSS"
NIGER,BIDA,26030286,"2DS PERFECT HEIGHT SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
KADUNA,KADUNA-SOUTH,18100001,"2ND ECWA SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
BORNO,JERE,8130001,"2O2 HOUSING ESTATE JUNIOR SECONDARY SCHOOL","Junior Secondary",PUBLIC,"JSS ONLY"
RIVERS,PORT-HARCOURT,32221323,"3 STARS EDUCATIONAL CENTER NO 4 NDOKI STREET BOROKIRI PORT HARCOURT","Junior Secondary",PRIVATE,"JSS ONLY"
NIGER,SULEJA,26230718,"3-TIMES INTERNATIONAL SCHOOL ","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,IKORODU,24122993,"3F COMPREHENSIVE COLLEGE ","Junior Secondary",PRIVATE,"JSS AND SSS"
OSUN,EDE-SOUTH,29080227,"3K T ISLAMIC COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
PLATEAU,JOS-NORTH,31050707,"5FAITH DIVINE  COLLEGE ","Junior Secondary",PRIVATE,"JSS AND SSS"
BORNO,MAIDUGURI,8210002,"777 MODEL JUNIOR SECONDARY SCHOOL, MAIDUGURI","Junior Secondary",PUBLIC,"JSS ONLY"
NIGER,KATCHA,26100062,"8GOVERNMENT JUNIOR SECONDARY SCHOOL, CHECHE","Junior Secondary",PUBLIC,"JSS AND SSS"
KOGI,LOKOJA,22120163,"9JOJEP GOLD GETTER ACADEMY","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,AGEGE,24010002,"A &amp; T COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
ONDO,ODIGBO,28130898,"A - ANGELS KIDDIES UNIVERSITY,  ORE ALABA.","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,AMUWO-ODOFIN,24040009,"A A INTERNATIONAL COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
KANO,RANO,19320001,"A A RANO GOVERNMENT GIRLS ARABIC SECONDARY SCHOOL LAUSU","Junior Secondary",PUBLIC,"JSS AND SSS"
NIGER,KONTAGORA,26110280,"A B A ACADEMIY","Junior Secondary",PRIVATE,"JSS ONLY"
KANO,DALA,19070557,"A M INTERNATIONAL SCHOOL KANO","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,IBADAN-NORTH-WEST,30080055,"A MAKERS COLLEGE                                                                                    ","Junior Secondary",PRIVATE,"JSS ONLY"
OYO,IDO,30140121,"A MAKERS HIGH SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
KWARA,"ILORIN WEST",23080760,"A ONE MODEL COLLEGE,GAA SAKA","Junior Secondary",PRIVATE,"JSS ONLY"
OGUN,OBAFEMI-OWODE,27132168,"A PRIME COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
BAUCHI,BAUCHI,5020752,"A U MISAU EXCELLENCY ACADEMY","Junior Secondary",PRIVATE,"JSS AND SSS"
BENUE,OTUKPO,7190362,"A,ABUSA INT,L COMPREHENSIVE COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
OSUN,IFE-NORTH,29150002,"A- PLUS MODEL COLLEGE IPETUMODU","Junior Secondary",PRIVATE,"JSS ONLY"
ONDO,ODIGBO,28130817,"A-ANGELS DEMONSTRATION COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
BORNO,BIU,8050149,"A. GALKU ACADAMY JSS YAMARKUMI ","Junior Secondary",PRIVATE,"JSS ONLY"
OSUN,IWO,29230162,"A. U. D. GRAMMAR SCHOOL ARAROMI II, IWO","Junior Secondary",PUBLIC,"JSS AND SSS"
ONDO,AKOKO-SOUTH-WEST,28040001,"A. U. D. GRAMMER SCHOOL, AKUNGBA","Junior Secondary",PUBLIC,"JSS AND SSS"
KANO,NASARAWA,19310005,"A.A RASHEED ACADEMY","Junior Secondary",PRIVATE,"JSS AND SSS"
NIGER,LAVUN,26130001,"A.A.KURE COLLEGE OF ART AND ISLAMIC STUDIES, NDALOKE","Junior Secondary",PUBLIC,"JSS AND SSS"
NIGER,BOSSO,26050001,"A.B TECH INTERNATIONAL SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
EDO,EGOR,12020002,"A.B. EDU. CENTRE JUNIOR SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
AKWA-IBOM,URUE-OFFONG/ORUKO,3300001,"A.B.C SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
OSUN,EJIGBO,29100002,"A.D.S JUNIOR HIGH SCHOOL I, EJIGBO","Junior Secondary",PUBLIC,"JSS ONLY"
ABIA,ABA-SOUTH,1020289,"A.M.E ZION ACADEMY JUNIOR SECONDARY SCH","Junior Secondary",PRIVATE,"JSS AND SSS"
KOGI,KOGI,22110169,"A.M.S.A.I.S (JSS)","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,SURULERE,24201150,"A.O WISDOM WAY COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,IKORODU,24122625,"A.T.S.A PRIVATE SCHOOL IGBOGBO","Junior Secondary",PRIVATE,"JSS ONLY"
OSUN,ODO-OTIN,29250001,"A.U.D COMPREHENSIVE SCHOOL, INISA","Junior Secondary",PUBLIC,"JSS ONLY"
OSUN,ORIADE,29280001,"A.U.D JUNIOR SECONDARY SCHOOL, IPETU-IJESA","Junior Secondary",PUBLIC,"JSS AND SSS"
OSUN,OLORUNDA,29270002,"A.UD. HIGH SCHOOL, ILIE","Junior Secondary",PUBLIC,"JSS AND SSS"
OSUN,BORIPE,29060001,"A/C JUNIOR GRAMMER SCHOOL, IREE","Junior Secondary",PUBLIC,"JSS ONLY"
OSUN,ISOKAN,29220016,"A/C JUNIOR SCHOOL I, APOMU","Junior Secondary",PUBLIC,"JSS AND SSS"
OSUN,IWO,29230007,"A1 COMPREHENSIVE GRAMMAR SCHOOL, IWO","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,IBEJU-LEKKI,24090841,"A1 DIVINE BRAIN FIELD ACADEMY COLLEGE ","Junior Secondary",PRIVATE,"JSS AND SSS"
ONDO,AKOKO-SOUTH-WEST,28040263,"A1 EXCELLENT PERFORMANCE COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
OGUN,IFO,27050880,"A1 INTERNATIONAL  MOEL COLLEGE ","Junior Secondary",PRIVATE,"JSS ONLY"
ABIA,ABA-NORTH,1010611,"A1 INTERNATIONAL SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
ABIA,UMUAHIA-NORTH,1150260,"A1 INTERNATIONAL SCHOOLS","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,IBEJU-LEKKI,24090755,"A1 INTERNATIONAL SECONDARY SCHOOL MAGBON ALADE","Junior Secondary",PRIVATE,"JSS ONLY"
OSUN,BORIPE,29060002,"A2  COLLEGE, IRAGBIJI","Junior Secondary",PRIVATE,"JSS AND SSS"
KOGI,OLAMABORO,22180240,"A3 MODEL ACADEMY","Junior Secondary",PRIVATE,"JSS AND SSS"
KANO,TOFA,19390001,"A3 PROGRESSIVE BASIC ACADEMIC TUDUN MALAMI","Junior Secondary",PRIVATE,"JSS ONLY"
KADUNA,SABON-GARI,18190354,"AAFA SUNNAH ACADEMY","Junior Secondary",PRIVATE,"JSS ONLY"
OSUN,BORIPE,29060004,"AAGBA METHODIST JUNIOR HIGH SCHOOL, AAGBA","Junior Secondary",PUBLIC,"JSS AND SSS"
OYO,IBADAN-NORTH-EAST,30070101,"AANU OLU COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
EKITI,IDO-OSI,13080023,"AANUOLUWA PROGRESSIVE COLLEGE, IFAKI EKITI","Junior Secondary",PRIVATE,"JSS AND SSS"
KWARA,IFELODUN,23050348,"AANUOLUWA SECONDARY SCHOOL, GANMO","Junior Secondary",PRIVATE,"JSS ONLY"
ONDO,ILE-OLUJI-OKEIGBO,28110262,"AANUOLUWAPO PROGRESSIVE HIGH SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,OGBOMOSO-NORTH,30210032,"AARE AGO HIGH SCHOOL, OGBOMOSO","Junior Secondary",PUBLIC,"JSS ONLY"
LAGOS,OSHODI-ISOLO,24180686,"AARESTHER DIVINE SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
EKITI,MOBA,13150001,"AAYE OJA JUNIOR HIGH SCHOOL, AAYE OJA","Junior Secondary",PUBLIC,"JSS ONLY"
LAGOS,IKORODU,24122995,"AB BLACK CONVENTIONAL SCHOOLS ","Junior Secondary",PRIVATE,"JSS AND SSS"
BENUE,MAKURDI,7130784,"AB-MEH-RET SECONDARY SCHOOL MAKURDI ","Junior Secondary",PRIVATE,"JSS AND SSS"
IMO,OHAJI/EGBEMA,16180155,"ABACHEKE COMPR SECONDARY SCHOOL EGBEMA","Junior Secondary",PUBLIC,"JSS AND SSS"
OYO,IBADAN-NORTH,30060075,"ABADINA COLLEGE JUNIOR SCHOOL","Junior Secondary",PUBLIC,"JSS ONLY"
OYO,IBADAN-NORTH,30060076,"ABADINA GRAMMAR SCHOOL ABADINA","Junior Secondary",PUBLIC,"JSS AND SSS"
OGUN,ABEOKUTA-SOUTH,27020001,"ABADIYYA  NATIONAL COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
BENUE,OTUKPO,7190003,"ABAH MEMORIAL MODEL COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
DELTA,ANIOCHA-SOUTH,10020001,"ABAH-UNOR SECONDARY SCHOOL ABAH-UNOR","Junior Secondary",PUBLIC,"JSS AND SSS"
OSUN,IFE-EAST,29130238,"ABAJA OLOWU GROUP OF SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
EBONYI,EBONYI,11040080,"ABAKALIKI JUNIOR HIGH SCHOOL  (PRESCO) ABAKALIKI","Junior Secondary",PUBLIC,"JSS ONLY"
OSUN,IFE-EAST,29130271,"ABAKE MODEL SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
CROSS-RIVER,AKAMKPA,9020002,"ABAKUM INTERNATIONAL COMMERCIAL SECONDARY SCHOOLS, UYANGA - AKAMKPA","Junior Secondary",PRIVATE,"JSS AND SSS"
ABIA,OBIOMA-NGWA,1090002,"ABALA IBEME JUNIOR SECONDARY SCHOOL, ABALA IBEME","Junior Secondary",PUBLIC,"JSS AND SSS"
DELTA,NDOKWA-EAST,10110002,"ABALAGADA SECONDARY SCHOOL, ABALAGADA","Junior Secondary",PUBLIC,"JSS ONLY"
ABIA,AROCHUKWU,1030001,"ABAM JUNIOR HIGH SCHOOL, OZU ABAM","Junior Secondary",PUBLIC,"JSS AND SSS"
BORNO,MAIDUGURI,8210004,"ABANDE MEMORIAL SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
ANAMBRA,IDEMILI-NORTH,4100001,"ABANNA SECONDARY SCHOOL, ABATETE","Junior Secondary",PUBLIC,"JSS AND SSS"
FCT,MUNICIPAL,37062858,"ABARI ACADEMY","Junior Secondary",PRIVATE,"JSS AND SSS"
ONDO,ILE-OLUJI-OKEIGBO,28110002,"ABARI COMPREHENSIVE COLLEGE, ILE-OLUJI","Junior Secondary",PUBLIC,"JSS AND SSS"
EBONYI,OHAUKWU,11120003,"ABARIGWE MODEL SECONDARY SCHOOL UMUOGUDU OSHIA","Junior Secondary",PUBLIC,"JSS ONLY"
EBONYI,EBONYI,11040002,"ABARIGWE TECHNICAL COLLEGE, ABARIGWE ISHEKE","Junior Secondary",PUBLIC,"JSS AND SSS"
KEBBI,YAURI,21200001,"ABARSHI BOYS GOVT DAY JUNIOR SECONDARY SCHOOL, YAURI","Junior Secondary",PUBLIC,"JSS ONLY"
KEBBI,YAURI,21200002,"ABARSHI GIRLS GOVT DAY JUNIOR SECONDARY SCHOOL, YAURI","Junior Secondary",PUBLIC,"JSS ONLY"
BAUCHI,DARAZO,5050276,"ABASAMA GOVERNMENT JUNIOR SEC.SCH  DARAZO","Junior Secondary",PUBLIC,"JSS AND SSS"
OGUN,YEWA-NORTH,27190333,"ABASS MODEL COLLEGE IMOTO OYERINDE","Junior Secondary",PRIVATE,"JSS AND SSS"
CROSS-RIVER,AKAMKPA,9020164,"ABATEX COLLEGE OF SCIENCE, ART AND VOCATION, AKAMKPA","Junior Secondary",PRIVATE,"JSS AND SSS"
DELTA,IKA-SOUTH,10080001,"ABAVO GIRLS SEC SCH, ABAVO","Junior Secondary",PUBLIC,"JSS AND SSS"
ABIA,OSISIOMA,1110004,"ABAYI  GIRLS JUNIOR SECONDARY SCHOOL, ABAYI","Junior Secondary",PUBLIC,"JSS AND SSS"
ABIA,OSISIOMA,1110006,"ABAYI INTERNATIONAL SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
ABIA,UGWUNAGBO,1120173,"ABAYI-NCHOKORO COMMUNITY JUNIOR SECONDARY SCHOOL ","Junior Secondary",PUBLIC,"JSS AND SSS"
BORNO,JERE,8130004,"ABBA BUKAR MEMORIAL PRIVATE SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
ABIA,ABA-SOUTH,1020001,"ABBA COMPREHENSIVE SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
KANO,GWALE,19180654,"ABBA CUSTOM JUNIOR SEC SCHL DORAYI","Junior Secondary",PUBLIC,"JSS AND SSS"
KOGI,DEKINA,22050452,"ABBA GRAMMAR COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
KADUNA,SANGA,18200302,"ABBA INTERTERNATION JUNIOR SCHOOL UNGWAN NUNGU  ","Junior Secondary",PRIVATE,"JSS ONLY"
KATSINA,DUTSIN-MA,20120182,"ABBA JAYE MEMORIAL COMMUNITY GIRLS COLLEGE DUTSINMA ","Junior Secondary",PRIVATE,"JSS ONLY"
KATSINA,RIMI,20300001,"ABBA MUSA RIMI COMMUNITY COLLEGE OF ARABIC &amp; ISLAMIC STUDIES","Junior Secondary",PRIVATE,"JSS ONLY"
BORNO,MAIDUGURI,8210355,"ABBAGANARAM JUNIOR DAY SECONDARY SCHOOL","Junior Secondary",PUBLIC,"JSS ONLY"
KANO,KUMBOTSO,19250537,"ABBAS KHALIFA JUNIOR SECONDARY SCHOOL SHEKA","Junior Secondary",PRIVATE,"JSS AND SSS"
KANO,FAGGE,19120002,"ABBAS MAJE NASSARAWA SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
BORNO,JERE,8130006,"ABBAS MEMORIAL PRIVATE SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,IBADAN-SOUTH-WEST,30100118,"ABBEY STANDARD SECONDARY SCHOOL                                                                     ","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,ALIMOSHO,24035202,"ABBEYDEBLAND INTERNATIONAL SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
DELTA,NDOKWA-WEST,10120001,"ABBI GIRLS, SEC SCH, ABBI.","Junior Secondary",PUBLIC,"JSS AND SSS"
DELTA,NDOKWA-WEST,10120002,"ABBI GRAM SCH, ABBI.","Junior Secondary",PUBLIC,"JSS AND SSS"
ANAMBRA,IHIALA,4120001,"ABBOT BOYS SECONDARY SCHOOL, IHIALA","Junior Secondary",PUBLIC,"JSS AND SSS"
LAGOS,ALIMOSHO,24038649,"ABBOT DAYSPRING SCHOOLS","Junior Secondary",PRIVATE,"JSS AND SSS"
ANAMBRA,IHIALA,4120002,"ABBOT GIRLS SECONDARY SCHOOL, IHIALA","Junior Secondary",PUBLIC,"JSS AND SSS"
BENUE,AGATU,7020002,"ABBYS FAITHFUL BRIGHTER ACADEMY JUNIOR SECONDARY SCHOOL OBAGAJI","Junior Secondary",PRIVATE,"JSS ONLY"
KADUNA,SABON-GARI,18190002,"ABC ACADEMY ","Junior Secondary",PRIVATE,"JSS AND SSS"
NIGER,SHIRORO,26220326,"ABC ACADEMY KUTA","Junior Secondary",PRIVATE,"JSS ONLY"
FCT,MUNICIPAL,37062509,"ABC INTERNATIONAL  COLLEGE UTAKO","Junior Secondary",PRIVATE,"JSS AND SSS"
ENUGU,ENUGU-EAST,14030007,"ABC STANDARD COLLEGE EMENE","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,IBEJU-LEKKI,24090002,"ABCEL ACADEMY (SECONDARY), 17/21 ELEKU STREET","Junior Secondary",PRIVATE,"JSS AND SSS"
KANO,DALA,19070532,"ABDALLAH MEMORIAL INTERNATIONAL SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
ZAMFARA,TALATAN-MAFARA,36120269,"ABDUGUSAU POLYTECHNIC STAFF SCHOOL JUNIOR SECONDARY SCHOOL SECTION","Junior Secondary",PRIVATE,"JSS ONLY"
BORNO,JERE,8130305,"ABDUL BASID INTEGRATED ISLAMIC SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
SOKOTO,SOKOTO-SOUTH,33170002,"ABDUL RASHED ADISA RAJI, SOKOTO SOUTH","Junior Secondary",PUBLIC,"JSS AND SSS"
KANO,NASARAWA,19310007,"ABDUL SALAM MEMORIAL COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
KWARA,"ILORIN SOUTH",23070002,"ABDULAZIZ ATTA MEMORIAL COLLEGE FATE ILORIN","Junior Secondary",PRIVATE,"JSS AND SSS"
BAUCHI,KATAGUN,5120282,"ABDULKADIR NALIZAI SCHOOL FOR SCIENCE AND MEMORIZATION OF THE HOLY QURAN","Junior Secondary",PRIVATE,"JSS AND SSS"
KANO,GWALE,19180639,"ABDULLAHI ABBAS MODEL GOVERNMENT JUNIOR SECONDARY SCHOOL","Junior Secondary",PUBLIC,"JSS ONLY"
KADUNA,CHIKUN,18020959,"ABDULLAHI ACADEMY ","Junior Secondary",PRIVATE,"JSS AND SSS"
SOKOTO,TAMBUWAL,33180002,"ABDULLAHI BARAU JUNIOR SECONDARY SCHOOL, DOGON DAJI","Junior Secondary",PUBLIC,"JSS AND SSS"
KANO,KANO-MUNICIPAL,19210002,"ABDULLAHI BAYERO COLLEGE OF QURANIC STUDIES KANO","Junior Secondary",PUBLIC,"JSS AND SSS"
KANO,GWALE,19180636,"ABDULLAHI BIN ABBAS COMPREHENSIVE JSS","Junior Secondary",PUBLIC,"JSS AND SSS"
KEBBI,BIRNIN-KEBBI,21060002,"ABDULLAHI BIN FODIO ISLAMIC INSTITUTE","Junior Secondary",PUBLIC,"JSS AND SSS"
YOBE,POTISKUM,35140004,"ABDULLAHI BIN MAS?UD PRIMARY AND SECONDARY SCHOOL, POTISKUM","Junior Secondary",PRIVATE,"JSS AND SSS"
SOKOTO,WAMAKKO,33210003,"ABDULLAHI BIN MASUD ACADEMY","Junior Secondary",PRIVATE,"JSS ONLY"
KANO,DAWAKIN-TOFA,19100003,"ABDULLAHI BN ABBAS LITAHAFIZUL QURAN JUNIOR SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
NIGER,BOSSO,26050003,"ABDULLAHI DADA SECONDARY SCHOOL MAIKUNKELE","Junior Secondary",PUBLIC,"JSS AND SSS"
SOKOTO,BODINGA,33020001,"ABDULLAHI FODIO COMMUNITY ARABIC &amp; ISLAMIC SECONDARY SCHOOL, BODINGA","Junior Secondary",PUBLIC,"JSS ONLY"
PLATEAU,KANAM,31070106,"ABDULLAHI IBN MASUD  ISLAMIC 5ECONDARY SCHOOL, DENGI","Junior Secondary",PRIVATE,"JSS AND SSS"
KANO,ROGO,19340003,"ABDULLAHI INTERNATIONAL NUSERY,PRIMARY AND SECONDERY SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
KANO,RANO,19320003,"ABDULLAHI MEMORIAL COMPREHENSIVE  COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
BAUCHI,KATAGUN,5120317,"ABDULLAHI MEMORIAL SECONDARY SCHOOL AZARE ","Junior Secondary",PRIVATE,"JSS AND SSS"
KANO,GWALE,19180737,"ABDULLAHI MUAZU MODERN COLLEGE ","Junior Secondary",PRIVATE,"JSS AND SSS"
KEBBI,BIRNIN-KEBBI,21060003,"ABDULLAI FODIO JUNIOR SECONDARY SCHOOL BIRNINM KEBBI","Junior Secondary",PUBLIC,"JSS AND SSS"
KANO,GWALE,19180688,"ABDUR RAHAMAN BIN AUF SCIENCE ACADEMY","Junior Secondary",PRIVATE,"JSS ONLY"
KANO,NASARAWA,19310010,"ABDURRAHAMAN BN AUF ISLAM PRIMARY SCHOOL, NASSARAWA","Junior Secondary",PUBLIC,"JSS AND SSS"
KANO,TARAUNI,19380014,"ABDURRAHMAN BIN AUF JUNIOR GIRLS ARABIC SEC. SCH.","Junior Secondary",PUBLIC,"JSS ONLY"
BORNO,JERE,8130330,"ABDURRAHMAN ISLAMIC SCHOOL ","Junior Secondary",PRIVATE,"JSS ONLY"
KADUNA,MAKARFI,18180003,"ABDURRAHMAN MALI MODEL SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
SOKOTO,TAMBUWAL,33180174,"ABDURRAHMAN MARAFA MEMORIAL ARABIC AND ISLAMIYYA SECONDARY SCHOOL TAMBUWAL","Junior Secondary",PUBLIC,"JSS ONLY"
KADUNA,ZARIA,18230380,"ABDURRAHMAN MORA COLLEGE OF ISLAMIC STUDIES ","Junior Secondary",PRIVATE,"JSS ONLY"
KADUNA,KADUNA-SOUTH,18100535,"ABDURRAZAQ MEMORIAL ACADEMY","Junior Secondary",PRIVATE,"JSS AND SSS"
KEBBI,JEGA,21120001,"ABDUSSALAMI NA GIMBANA MEMORIAL SCHOOL, JEGA","Junior Secondary",PRIVATE,"JSS AND SSS"
