State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
FCT,MUNICIPAL,37060160,"FOUNTAIN PRIVATE KADO ESTATE ABUJA","Junior Secondary",PRIVATE,"JSS ONLY"
ONDO,IFEDORE,28090052,"FOUNTAIN SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
DELTA,WARRI-NORTH,10230029,"FOUNTAIN SECONDARY SCHOOL KOKO","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,LAGOS-ISLAND,24140078,"FOUNTAIN SUBULUS SALAM SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
KOGI,KOGI,22110049,"FOUNTAUN OF KKNOWLEDGE SECONDARY SCHOOL, BESIDE POLICE STATION KOTONKARFE","Junior Secondary",PRIVATE,"JSS AND SSS"
ONDO,OWO,28180378,"FOURAH BAY INTL COLLEGE OWO ","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,MAINLAND,24151073,"FOURIER SPECIAL ACADEMY","Junior Secondary",PRIVATE,"JSS ONLY"
NASARAWA,KARU,25040357,"FOURSQUARE ACADEMY","Junior Secondary",PRIVATE,"JSS AND SSS"
EKITI,GBONYIN,13070042,"FOURSQUARE ACADEMY","Junior Secondary",PRIVATE,"JSS ONLY"
KOGI,DEKINA,22050054,"FOURSQUARE ACADEMY SEC.SCHOOL ABOCHO","Junior Secondary",PRIVATE,"JSS AND SSS"
OGUN,ABEOKUTA-SOUTH,27020123,"FOURSQUARE INTERNATIONAL SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
ENUGU,NKANU-EAST,14110077,"FOUTAIN OF KNOWLEDGE HIGH SCHOOL UGBAWKA","Junior Secondary",PRIVATE,"JSS AND SSS"
RIVERS,OBIO-AKPOR,32150207,"FOVEVER INTERNATIONAL ACADEMY COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
OYO,IBADAN-NORTH-WEST,30080125,"FOWEBS COLLEGE                                                                                      ","Junior Secondary",PRIVATE,"JSS AND SSS"
OGUN,IJEBU-NORTH,27080339,"FOWOSEJE COMPREHENSIVE HIGH SCHOOL","Junior Secondary",PUBLIC,"JSS ONLY"
LAGOS,IKORODU,24122676,"FQDEELAT INTERNATIONAL COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
ANAMBRA,ANAMBRA-WEST,4030042,"FR AMADI MEMORIAL COLLEGEUMUENWELUM ANAM","Junior Secondary",PRIVATE,"JSS AND SSS"
ANAMBRA,ORUMBA-SOUTH,4200046,"FR TANSI MEMORIAL SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
CROSS-RIVER,YALA,9180188,"FR. MICHAEL CASEY MEMORIAL COLLEGE, WANOKOM","Junior Secondary",PRIVATE,"JSS AND SSS"
BENUE,MAKURDI,7130177,"FR. TANSI ACADEMY, KM. 3 GBOKO ROAD GYADO VILLA","Junior Secondary",PRIVATE,"JSS AND SSS"
KADUNA,CHIKUN,18020091,"FRADAPAL EL.SHADDAI INTL SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,OSHODI-ISOLO,24181731,"FRANCEL COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,OSHODI-ISOLO,24180623,"FRANCEL COLLEGE EJIGBO","Junior Secondary",PRIVATE,"JSS ONLY"
NIGER,SULEJA,26230146,"FRANCH BOMAC INTERNATIONAL ACADEMY","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,BADAGRY,24061643,"FRANCIS XAVIER SCHOOL ","Junior Secondary",PRIVATE,"JSS ONLY"
PLATEAU,JOS-SOUTH,31060556,"FRANCISCAN ACADEMY (SECONDARY) GERO ROAD GYEL","Junior Secondary",PRIVATE,"JSS AND SSS"
EBONYI,EBONYI,11040301,"FRANCLILY ACADEMY (COLLEGE)","Junior Secondary",PRIVATE,"JSS ONLY"
AKWA-IBOM,INI,3150024,"FRANCO SECONDARY COMMERCIAL SCHOOL, ANANAMONG ITU MBONUSO","Junior Secondary",PRIVATE,"JSS AND SSS"
EDO,EGOR,12020120,"FRANEJ INTERNATIONAL HIGH SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,BADAGRY,24060273,"FRANK BELL SCHOOL, ARAROMI","Junior Secondary",PRIVATE,"JSS ONLY"
AKWA-IBOM,ORON,3250035,"FRANK COMPREHENSIVE HIGH SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
BENUE,MAKURDI,7130637,"FRANK PENNIEL ACADEMY SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
RIVERS,OBIO-AKPOR,32152888,"FRANKCLINTON INTERNATIONAL SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,SURULERE,24200106,"FRANKEN COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
AKWA-IBOM,EKET,3030069,"FRANKFURT HIGH SCHOOL EKET","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,ALIMOSHO,24037685,"FRANKINCENSE COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
OGUN,OBAFEMI-OWODE,27131758,"FRANKLIN COMPREHENSIVE SCHOOL ","Junior Secondary",PRIVATE,"JSS AND SSS"
ANAMBRA,ANAMBRA-EAST,4020061,"FRANKLIN INTERNATIONAL SECONDRY SCHOOL, ABATA NSUGBE","Junior Secondary",PRIVATE,"JSS ONLY"
RIVERS,PORT-HARCOURT,32221450,"FRANKSIL ROYAL HERITAGE INTERNATIONAL SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,IKORODU,24120412,"FRANMICH COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
IMO,MBAITOLI,16110088,"FRANSIKA   INT.L  SEC SCH UBAHEZE ORODO","Junior Secondary",PRIVATE,"JSS AND SSS"
RIVERS,OBIO-AKPOR,32150702,"FRASI MODEL  JUNIOR SECONDARY school  no 10 or do STREET  elikpowodu RUKPOKWU ","Junior Secondary",PRIVATE,"JSS ONLY"
DELTA,WARRI-SOUTH-WEST,10240325,"FRAYO INTERNATIONAL SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,ALIMOSHO,24030807,"FRED ODUTOLA COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,ALIMOSHO,24035047,"Fred Smits Secondary School","Junior Secondary",PRIVATE,"JSS ONLY"
CROSS-RIVER,YAKURR,9170058,"FREDERICK OWAN MEMORIAL SECONDARY SCHOOL, UGEP","Junior Secondary",PRIVATE,"JSS AND SSS"
BENUE,MAKURDI,7130178,"FREE WILL FOUNDATION SECONDARY SCHOOL MAKURDI","Junior Secondary",PRIVATE,"JSS AND SSS"
KOGI,OKENE,22170041,"FREEDOM ACADEMY. SCONDARY SCHOOL.ESOMI.","Junior Secondary",PRIVATE,"JSS AND SSS"
EBONYI,IZZI,11100158,"FREEDOM AMBASSADORS ACADEMY SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
